number,value,datetime_start,datetime_complete,duration,params_entry_quantile,params_min_edge_bps,params_quantile_window,params_stop_loss_atr_mult,params_take_profit_atr_mult,params_threshold_mult,params_z_threshold,state
38,-0.0044426953451789045,2025-09-02 11:11:44.398029,2025-09-02 11:11:51.761934,0 days 00:00:07.363905,0.8150309446649471,7,500,4.711479963797625,5.226910750085872,0.05462075296801416,0.2277030738259551,COMPLETE
39,-0.008269713261857043,2025-09-02 11:11:51.762293,2025-09-02 11:11:57.765701,0 days 00:00:06.003408,0.6916623440567768,10,600,4.930132079463885,7.4141489756182875,0.06600698267843355,0.2817739418945313,COMPLETE
40,0.007674683536085215,2025-09-02 11:11:57.766183,2025-09-02 11:12:03.350882,0 days 00:00:05.584699,0.7370845565656201,8,350,4.33236650648181,6.236266399680008,0.05023381256988144,0.253179167745583,COMPLETE
41,0.008790425942377533,2025-09-02 11:12:03.351250,2025-09-02 11:12:07.993875,0 days 00:00:04.642625,0.6845538971544881,9,400,4.066416868213035,5.618708530150585,0.05349271429854306,0.3039707071421576,COMPLETE
42,0.011426272253730248,2025-09-02 11:12:07.994333,2025-09-02 11:12:13.162929,0 days 00:00:05.168596,0.6625443427201356,9,450,4.0191885583610105,5.803831249740349,0.05650313425608078,0.337061012410394,COMPLETE
43,0.011437251013397109,2025-09-02 11:12:13.163265,2025-09-02 11:12:19.051944,0 days 00:00:05.888679,0.6631854588306557,10,450,4.105681576121737,5.789363163465085,0.07321581095818562,0.33929433005112164,COMPLETE
44,0.0068047020133120825,2025-09-02 11:12:19.052252,2025-09-02 11:12:24.237324,0 days 00:00:05.185072,0.6612885223002343,11,500,4.141835523239116,6.066009956919827,0.07532900349396164,0.3817288464063209,COMPLETE
45,0.0016256396038647203,2025-09-02 11:12:24.237686,2025-09-02 11:12:29.211846,0 days 00:00:04.974160,0.651853338337589,10,450,4.271971813862129,5.766365640541761,0.08204872148297378,0.3420687031024,COMPLETE
46,-0.00011552948964784255,2025-09-02 11:12:29.212194,2025-09-02 11:12:33.703479,0 days 00:00:04.491285,0.6684596014697526,11,550,4.155151576534605,7.7628396459053,0.06685980258137263,0.3761764808164475,COMPLETE
47,-0.0021903553728848907,2025-09-02 11:12:33.703862,2025-09-02 11:12:38.817631,0 days 00:00:05.113769,0.6727021152978507,10,450,4.494440094037939,7.230654050124015,0.08591478031384035,0.32452961262021807,COMPLETE
48,0.0008978490651940908,2025-09-02 11:12:38.817934,2025-09-02 11:12:43.871943,0 days 00:00:05.054009,0.8474446844563711,9,500,4.363824998273031,5.266680351161643,0.07196091123063067,0.13021714134611248,COMPLETE
49,-0.0038627149691505824,2025-09-02 11:12:43.872375,2025-09-02 11:12:48.876570,0 days 00:00:05.004195,0.6577530787881641,12,450,4.2371146686978305,5.850582070960408,0.04643401646271593,0.367408235549125,COMPLETE
