quantile_window,entry_quantile,min_trade_size,threshold_mult,max_hold_bars,stop_loss_mult,take_profit_mult,n_trades,total_pnl,sharpe
100,0.85,0.01,0.3,100,2.0,6.0,6,535.559721448059,0.03983034079626337
100,0.85,0.01,0.3,100,2.0,8.0,11,32.773774918271556,0.003196311565413909
100,0.85,0.01,0.3,100,2.0,10.0,14,-239.8954530013922,-0.0256441010647158
100,0.85,0.01,0.35,50,1.5,4.0,8,374.9283142514642,0.029923040794864474
100,0.85,0.01,0.35,50,1.5,6.0,8,408.52624582128874,0.03227865096358412
100,0.85,0.01,0.35,50,1.5,8.0,16,-52.386313293893984,-0.0048715446759270715
100,0.85,0.01,0.35,50,1.5,10.0,16,-285.71196153183246,-0.03786565790510726
100,0.85,0.01,0.35,50,2.0,4.0,8,374.9283142514642,0.029923040794864474
100,0.85,0.01,0.35,50,2.0,6.0,8,408.52624582128874,0.03227865096358412
100,0.85,0.01,0.35,50,2.0,8.0,14,-282.8010240058509,-0.036954956374563835
100,0.85,0.01,0.35,50,2.0,10.0,15,92.03438292775618,0.008794615931750037
100,0.85,0.01,0.35,75,1.5,4.0,6,474.5942753105915,0.03742009330762878
100,0.85,0.01,0.35,75,1.5,6.0,6,508.5149880570264,0.0397114015472024
100,0.85,0.01,0.35,75,1.5,8.0,14,84.22100777469588,0.007370489230575469
100,0.85,0.01,0.35,75,1.5,10.0,15,-222.8045741929678,-0.029869213224969802
100,0.85,0.01,0.35,75,2.0,4.0,6,474.5942753105915,0.03742009330762878
100,0.85,0.01,0.35,75,2.0,6.0,6,508.5149880570264,0.0397114015472024
100,0.85,0.01,0.35,75,2.0,8.0,9,278.01932384974015,0.02334655694005856
100,0.85,0.01,0.35,75,2.0,10.0,13,-56.850476371345195,-0.006869377668675725
100,0.85,0.01,0.35,100,1.5,4.0,5,398.76985314122544,0.031029705005349226
100,0.85,0.01,0.35,100,1.5,6.0,5,432.4450281765464,0.03332764221647732
100,0.85,0.01,0.35,100,1.5,8.0,14,-243.30200828622625,-0.03255009971895152
100,0.85,0.01,0.35,100,1.5,10.0,13,-139.60551331054108,-0.018205503123478753
100,0.85,0.01,0.35,100,2.0,4.0,5,398.76985314122544,0.031029705005349226
100,0.85,0.01,0.35,100,2.0,6.0,5,432.4450281765464,0.03332764221647732
100,0.85,0.01,0.35,100,2.0,8.0,11,-78.09643487219958,-0.009568669444791872
100,0.85,0.01,0.35,100,2.0,10.0,13,-11.561883563587246,-0.0011700205391088584
100,0.85,0.01,0.4,50,1.5,4.0,7,379.58705525345977,0.030466414639177587
100,0.85,0.01,0.4,50,1.5,6.0,7,413.20007346765135,0.03283100941399005
100,0.85,0.01,0.4,50,1.5,8.0,16,-57.70975386364658,-0.005505534543986904
100,0.85,0.01,0.4,50,1.5,10.0,18,-398.35343587516945,-0.0552529987416142
100,0.85,0.01,0.4,50,2.0,4.0,7,379.58705525345977,0.030466414639177587
100,0.85,0.01,0.4,50,2.0,6.0,7,413.20007346765135,0.03283100941399005
100,0.85,0.01,0.4,50,2.0,8.0,11,-1.144299878598325,0.0002379358414828175
100,0.85,0.01,0.4,50,2.0,10.0,13,168.4368376603719,0.015845613632509623
100,0.85,0.01,0.4,75,1.5,4.0,6,474.5942753105915,0.03742009330762878
100,0.85,0.01,0.4,75,1.5,6.0,6,508.5149880570264,0.0397114015472024
100,0.85,0.01,0.4,75,1.5,8.0,13,80.66089137319952,0.0070774074029734575
100,0.85,0.01,0.4,75,1.5,10.0,15,-151.2030880077636,-0.020279821862578377
100,0.85,0.01,0.4,75,2.0,4.0,6,474.5942753105915,0.03742009330762878
100,0.85,0.01,0.4,75,2.0,6.0,6,508.5149880570264,0.0397114015472024
100,0.85,0.01,0.4,75,2.0,8.0,8,263.22780670296953,0.021999039232767813
100,0.85,0.01,0.4,75,2.0,10.0,10,234.8280165978955,0.019741073255040528
100,0.85,0.01,0.4,100,1.5,4.0,5,398.76985314122544,0.031029705005349226
100,0.85,0.01,0.4,100,1.5,6.0,5,432.4450281765464,0.03332764221647732
100,0.85,0.01,0.4,100,1.5,8.0,13,45.198709243139774,0.004779124051740833
100,0.85,0.01,0.4,100,1.5,10.0,15,-113.9242516397132,-0.01511932888115263
100,0.85,0.01,0.4,100,2.0,4.0,5,398.76985314122544,0.031029705005349226
100,0.85,0.01,0.4,100,2.0,6.0,5,432.4450281765464,0.03332764221647732
100,0.85,0.01,0.4,100,2.0,8.0,8,260.40684793000753,0.024895633391836786
100,0.85,0.01,0.4,100,2.0,10.0,10,253.84870090120944,0.025054076742034206
100,0.9,0.01,0.25,50,1.5,4.0,11,291.3675079602177,0.0221899779002344
100,0.9,0.01,0.25,50,1.5,6.0,12,331.647006999227,0.02420505048116842
100,0.9,0.01,0.25,50,1.5,8.0,20,-155.857186245917,-0.013492078217570466
100,0.9,0.01,0.25,50,1.5,10.0,17,-64.81370485301461,-0.004803631109740528
100,0.9,0.01,0.25,50,2.0,4.0,11,291.3235668240607,0.0221866195358672
100,0.9,0.01,0.25,50,2.0,6.0,14,295.10195227394803,0.02202959187276689
100,0.9,0.01,0.25,50,2.0,8.0,18,-299.90273109087883,-0.03167392738677779
100,0.9,0.01,0.25,50,2.0,10.0,14,160.28084450945292,0.013130351606542584
100,0.9,0.01,0.25,75,1.5,4.0,9,458.51668413025357,0.034797650022990775
100,0.9,0.01,0.25,75,1.5,6.0,10,523.7583299532702,0.03816424512356182
100,0.9,0.01,0.25,75,1.5,8.0,17,-54.966993764812145,-0.0036655828238321446
100,0.9,0.01,0.25,75,1.5,10.0,18,-352.92242134465596,-0.03834447625716609
100,0.9,0.01,0.25,75,2.0,4.0,9,458.47201543861655,0.03479417162847926
100,0.9,0.01,0.25,75,2.0,6.0,12,412.9842323077464,0.030420168885962613
100,0.9,0.01,0.25,75,2.0,8.0,13,76.3191289082468,0.006273214080187801
100,0.9,0.01,0.25,75,2.0,10.0,15,-131.36006719427056,-0.013817543296411773
100,0.9,0.01,0.25,100,1.5,4.0,8,367.30828566425544,0.02745849789761983
